IP;MAC;Máscara;DATA;NomeDNS;TAG
10.37.95.41;D0:94:66:D8:E8:1C;255.255.255.0;2024-09-19 08:22:52;EDPE3975049;
10.37.56.250;00:40:A7:2B:C5:FF;255.255.255.0;2024-09-19 10:12:25;SDPE3940179;
10.37.11.58;94:C6:91:C5:81:BB;255.255.255.0;2024-09-19 10:55:55;ENFERMAGEM3;
10.37.47.15;6C:B3:11:5B:B4:A8;255.255.255.0;2024-09-19 10:52:16;10.37.47.15;
10.37.70.108;00:40:A7:2B:B4:EE;255.255.255.0;2024-09-19 11:33:26;CSS-DIR;
10.37.72.70;00:15:99:30:F8:2F;255.255.255.0;2024-09-19 11:25:50;SEC00159930F82F;
10.37.9.208;7C:CB:E2:50:23:79;255.255.255.0;2024-09-19 10:39:57;10.37.9.208;
10.37.29.38;10:05:01:98:8E:37;255.255.255.0;2024-09-18 13:26:29;EDPE3125994;
10.37.10.73;F8:B1:56:E2:68:87;255.255.255.0;2024-09-19 11:38:01;DESKTOP-3FQSVDF;
10.37.86.2;94:C6:91:C5:77:6E;255.255.255.0;2024-09-19 11:21:34;EDPE-GESTOR;
10.37.107.20;74:56:3C:F0:39:06;255.255.255.0;2024-09-19 10:11:04;EDPE3940317;
10.37.92.152;6C:F0:49:F9:16:70;255.255.255.0;2024-09-19 10:47:02;10.37.92.152;
10.37.31.50;D0:94:66:E3:E8:58;255.255.255.0;2024-09-19 11:32:45;SPC-D-PAM5037;
10.37.25.4;8C:0F:6F:73:35:54;255.255.255.0;2024-09-19 11:13:10;10.37.25.4;
10.37.27.139;D8:5E:D3:65:25:D9;255.255.255.0;2024-09-18 09:37:30;ceebjacrd3.pec.local;
10.37.13.106;D0:94:66:D8:F1:F1;255.255.255.0;2024-09-18 16:32:04;EDPE3975092;
10.37.5.184;BC:5F:F4:7C:4B:A6;255.255.255.0;2024-09-19 11:44:59;STO-NRI4;
10.37.15.62;F4:4D:30:84:1A:C8;255.255.255.0;2024-09-18 09:14:10;EDPE3190078;
10.37.55.50;1C:69:7A:ED:88:C7;255.255.255.0;2024-09-19 09:50:54;EDPE4055637;
